ID	LABEL	OLD_VALUES	OLD_FIELDS	Parents	subset	cob_parent	obo_exact_match	xref_ontology	xref_literature_doi	nico_comment	definition	applicable_to	additional_information	abbreviation	has_exact_synonym	has_related_synonym	has_narrow_synonym	has_broad_synonym	xref_synonym	github_issue_link	contributors	contributor_orcid	Decision_OT_Team	Ontology_OT_remarks	Ontology_person	Decision_OT_Team	New_definition_file_link
TOSO:0000088	Predicted ploidy	(1,2,3,4)	Predicted ploidy	Karyotype feature																					Cibele Sotero Caio	create_ToS_definition	_new_term_template_OOT
TOSO:0000089	Chromosome		Chromosome					PLANA:0002021		This is Planarian specific															Kamil Jaron	use-synonym	
TOSO:0000090	Nuclear chromosome		Nuclear chromosome	Chromosome				GO:0000228																All mentions of chromosomes on ToS 1 refer to nuclear DNA. Should we use this as a synonym for what we call chromosome?	Cibele Sotero Caio	use-synonym	
TOSO:0000091	B chromosome			Nuclear chromosome																							
TOSO:0000092	Sex chromosome		Nuclear chromosome	Nuclear chromosome																							
TOSO:0000093	X chromosome		Sex chromosome	Sex chromosome																							
TOSO:0000094	Y chromosome		Sex chromosome	Sex chromosome																				Kamil: I bumped into GO:0000806 when I researched male/female chromosome counts; Perhpas that could be the way to define the sex chromosome systems "does it have Y?". (maybe irrelevant, just a thought to share, feel free to ignore it)			
TOSO:0000095	Z chromosome		Sex chromosome	Sex chromosome																							
TOSO:0000096	W chromosome		Sex chromosome	Sex chromosome																							
TOSO:0000097	U chromosome			Sex chromosome																							
TOSO:0000098	V chromosome			Sex chromosome																							
TOSO:0000099	Karyotype		Karyotype					GENO:0000644																	Sònia Garcia	use-main_term	
TOSO:0000100	Sex chromosome karyotype			Karyotype																							
TOSO:0000101	ZO	ZO	Karyotype_value	Sex chromosome karyotype																					Sònia Garcia	create_ToS_definition	
TOSO:0000102	ZW	ZW	Karyotype_value	Sex chromosome karyotype																					Lukáš Kratochvíl	create_ToS_definition	
TOSO:0000103	XY	XY	Karyotype_value	Sex chromosome karyotype																					Lukáš Kratochvíl		
TOSO:0000104	XO	XO	Karyotype_value	Sex chromosome karyotype																					Lukáš Kratochvíl		
TOSO:0000105	WO	WO	Karyotype_value	Sex chromosome karyotype																					Lukáš Kratochvíl		
TOSO:0000106	Complex sex chromosome karyotype			Sex chromosome karyotype																							
TOSO:0000107	Complex XY	complex XY	Karyotype_value	Complex sex chromosome karyotype																					Nicole Valenzuela		
TOSO:0000108	Complex ZW	complex ZW	Karyotype_value	Complex sex chromosome karyotype																					Nicole Valenzuela		
TOSO:0000109	Sex chromosome karyotype morphology			Karyotype feature																							
TOSO:0000110	Homomorphic	homomorphic	Karyotype_value	Sex chromosome karyotype morphology																					Nicole Valenzuela		
TOSO:0000111	Heteromorphic			Sex chromosome karyotype morphology																							
TOSO:0000112	Sex chromosome system																										
TOSO:0000113	Heterogamety			Sex chromosome system																							
TOSO:0000114	Male heterogamety			Sex chromosome system																							
TOSO:0000115	Female heterogamety			Sex chromosome system																							
